epoch,acc,loss,val_acc,val_loss
0,0.4023365961477739,1.7996630606306514,0.5909878682842288,1.3780267607401313
1,0.5403919089759798,1.4180613415657193,0.5961871750433275,1.210758447337192
2,0.5644121365360304,1.3089652090096744,0.6135181975736569,1.1452694568828239
3,0.5811630847029077,1.2462743926376538,0.6117850953206239,1.1421916268417285
4,0.5865487843384907,1.2119985308487558,0.6273830155979203,1.0897154588013422
5,0.5950063211125158,1.1874397079011734,0.6325823223570191,1.0922998472970735
6,0.5991150442477876,1.163364814891328,0.6429809358752167,1.0680545759572933
7,0.6047408343868521,1.1506739705845752,0.6256499133448874,1.0833264092948656
8,0.6086517208714872,1.1397755614686245,0.6533795493934142,1.0577548570814743
9,0.6065107458912768,1.1299379068142446,0.6516464471403813,1.055040011631141
10,0.6134639696586599,1.1255673552410002,0.6360485268630849,1.0661998842576554
11,0.6176359039190897,1.1082925721607377,0.6308492201039861,1.0678942772193427
12,0.6177455004736343,1.1064764333218406,0.6325823223570191,1.0773784241395352
13,0.6279393173198483,1.087750145375691,0.6481802426343154,1.0529653777592722
14,0.6201643489254108,1.0893556219399654,0.6464471403812825,1.0444680474556505
15,0.6302149178255373,1.0801103877405225,0.6481802426343154,1.0509476285150188
16,0.6218078381795196,1.0981516954433421,0.6447140381282496,1.0483984425881092
17,0.6250710451531418,1.085307780431734,0.6447140381282496,1.0498730879619176
18,0.6260429835651075,1.0839318120952193,0.6412478336221837,1.0483352545539055
19,0.6248419721871049,1.088179575304316,0.6464471403812825,1.0476103256645402
